date,midprice,callput,ttm,spxclose,r,q,strike
31/12/2009,23.85,1,1087,1115.1,1.823215,2.0682471,550
31/12/2009,11.299999,1,16,1115.1,0.228002,2.0682471,1105
31/12/2009,12.9,1,16,1115.1,0.228002,2.0682471,1110
31/12/2009,68.849998,1,1087,1115.1,1.823215,2.0682471,800
31/12/2009,38.400002,1,1087,1115.1,1.823215,2.0682471,650
31/12/2009,14.95,1,16,1115.1,0.228002,2.0682471,1115
31/12/2009,17.35,1,16,1115.1,0.228002,2.0682471,1120
31/12/2009,57.450001,1,1087,1115.1,1.823215,2.0682471,750
31/12/2009,19.950001,1,16,1115.1,0.228002,2.0682471,1125
31/12/2009,22.85,1,16,1115.1,0.228002,2.0682471,1130
31/12/2009,81.650002,1,1087,1115.1,1.823215,2.0682471,850
31/12/2009,74.949997,1,1087,1115.1,1.823215,2.0682471,825
31/12/2009,95.75,1,1087,1115.1,1.823215,2.0682471,900
31/12/2009,88.550003,1,1087,1115.1,1.823215,2.0682471,875
31/12/2009,26.049999,1,16,1115.1,0.228002,2.0682471,1135
31/12/2009,29.549999,1,16,1115.1,0.228002,2.0682471,1140
31/12/2009,103.55,1,1087,1115.1,1.823215,2.0682471,925
31/12/2009,33.5,1,16,1115.1,0.228002,2.0682471,1145
31/12/2009,37.400002,1,16,1115.1,0.228002,2.0682471,1150
31/12/2009,41.799999,1,16,1115.1,0.228002,2.0682471,1155
31/12/2009,46.25,1,16,1115.1,0.228002,2.0682471,1160
31/12/2009,50.900002,1,16,1115.1,0.228002,2.0682471,1165
31/12/2009,55.5,1,16,1115.1,0.228002,2.0682471,1170
31/12/2009,60.400002,1,16,1115.1,0.228002,2.0682471,1175
31/12/2009,65.150002,1,16,1115.1,0.228002,2.0682471,1180
31/12/2009,70,1,16,1115.1,0.228002,2.0682471,1185
31/12/2009,74.899994,1,16,1115.1,0.228002,2.0682471,1190
31/12/2009,79.849998,1,16,1115.1,0.228002,2.0682471,1195
31/12/2009,9.8500004,1,16,1115.1,0.228002,2.0682471,1100
31/12/2009,27.9,1,51,1115.1,0.250521,2.0682471,1105
31/12/2009,29.9,1,51,1115.1,0.250521,2.0682471,1110
31/12/2009,32.050003,1,51,1115.1,0.250521,2.0682471,1115
31/12/2009,34.75,1,51,1115.1,0.250521,2.0682471,1120
31/12/2009,36.650002,1,51,1115.1,0.250521,2.0682471,1125
31/12/2009,38.950001,1,51,1115.1,0.250521,2.0682471,1130
31/12/2009,41.900002,1,51,1115.1,0.250521,2.0682471,1135
31/12/2009,44.75,1,51,1115.1,0.250521,2.0682471,1140
31/12/2009,47.75,1,51,1115.1,0.250521,2.0682471,1145
31/12/2009,50.900002,1,51,1115.1,0.250521,2.0682471,1150
31/12/2009,54.200001,1,51,1115.1,0.250521,2.0682471,1155
31/12/2009,57.700001,1,51,1115.1,0.250521,2.0682471,1160
31/12/2009,61.300003,1,51,1115.1,0.250521,2.0682471,1165
31/12/2009,65,1,51,1115.1,0.250521,2.0682471,1170
31/12/2009,68.75,1,51,1115.1,0.250521,2.0682471,1175
31/12/2009,72.75,1,51,1115.1,0.250521,2.0682471,1180
31/12/2009,76.849998,1,51,1115.1,0.250521,2.0682471,1185
31/12/2009,81.100006,1,51,1115.1,0.250521,2.0682471,1190
31/12/2009,85.449997,1,51,1115.1,0.250521,2.0682471,1195
31/12/2009,26.1,1,51,1115.1,0.250521,2.0682471,1100
31/12/2009,39.300003,1,79,1115.1,0.270356,2.0682471,1105
31/12/2009,41.400002,1,79,1115.1,0.270356,2.0682471,1110
31/12/2009,43.5,1,79,1115.1,0.270356,2.0682471,1115
31/12/2009,45.699997,1,79,1115.1,0.270356,2.0682471,1120
31/12/2009,48,1,79,1115.1,0.270356,2.0682471,1125
31/12/2009,50.5,1,79,1115.1,0.270356,2.0682471,1130
31/12/2009,53,1,79,1115.1,0.270356,2.0682471,1135
31/12/2009,55.699997,1,79,1115.1,0.270356,2.0682471,1140
31/12/2009,58.5,1,79,1115.1,0.270356,2.0682471,1145
31/12/2009,61.299999,1,79,1115.1,0.270356,2.0682471,1150
31/12/2009,64.400002,1,79,1115.1,0.270356,2.0682471,1155
31/12/2009,67.5,1,79,1115.1,0.270356,2.0682471,1160
31/12/2009,70.75,1,79,1115.1,0.270356,2.0682471,1165
31/12/2009,74.099998,1,79,1115.1,0.270356,2.0682471,1170
31/12/2009,77.400002,1,79,1115.1,0.270356,2.0682471,1175
31/12/2009,81,1,79,1115.1,0.270356,2.0682471,1180
31/12/2009,84.599998,1,79,1115.1,0.270356,2.0682471,1185
31/12/2009,88.400002,1,79,1115.1,0.270356,2.0682471,1190
31/12/2009,92.300003,1,79,1115.1,0.270356,2.0682471,1195
31/12/2009,37.400002,1,79,1115.1,0.270356,2.0682471,1100
31/12/2009,56.800003,1,107,1115.1,0.29705501,2.0682471,1125
31/12/2009,69.850006,1,107,1115.1,0.29705501,2.0682471,1150
31/12/2009,75.599998,1,107,1115.1,0.29705501,2.0682471,1160
31/12/2009,81.800003,1,107,1115.1,0.29705501,2.0682471,1170
31/12/2009,85,1,107,1115.1,0.29705501,2.0682471,1175
31/12/2009,88.400002,1,107,1115.1,0.29705501,2.0682471,1180
31/12/2009,95.300003,1,107,1115.1,0.29705501,2.0682471,1190
